SMILES,Tm(deg C) EXP,Tm(K) EXP,
CC([N+]([O-])=O)([N+]([O-])=O)COC(N([N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,71.5,344.65,
CC([N+]([O-])=O)([N+]([O-])=O)CN([N+]([O-])=O)CC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,121.3,394.45,
 CC(CCN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],107.5,380.65,
O=C(NCCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N([N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,78.5,351.65,
CC([N+]([O-])=O)([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,140.5,413.65,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CN([N+]([O-])=O)CC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,160.3,433.45,
O=C(C(N([N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)N([N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,128,401.15,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,185.5,458.65,
CC([N+]([O-])=O)([N+]([O-])=O)COC(N([N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)C)=O,71,344.15,
O=[N+]([O-])N(CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CCN([N+]([O-])=O)CCN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,158.5,431.65,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N([N+]([O-])=O)CCN([N+]([O-])=O)CN([N+]([O-])=O)C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,113.5,386.65,
O=[N+]([O-])N(CC([N+]([O-])=O)([N+]([O-])=O)CN([N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,136,409.15,
O=[N+]([O-])N(CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)CCN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,172.5,445.65,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CCN([N+]([O-])=O)CCC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,110.5,383.65,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CN([N+]([O-])=O)CCN([N+]([O-])=O)CC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,196,469.15,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N([N+]([O-])=O)CCN([N+]([O-])=O)CCN([N+]([O-])=O)C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,121,394.15,
O=[N+]([O-])C([N+]([O-])=O)([N+]([O-])=O)CN([N+]([O-])=O)CCN([N+]([O-])=O)CCN([N+]([O-])=O)CCN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,166.5,439.65,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N([N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)CCN([N+]([O-])=O)C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,151.5,424.65,
